Прізвище Ім'я По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Теліженко Максим Петрович,Чоловіча,1965-05-06,Менеджер,місто Зимогір'я,"провулок Зелений, буд. 15 кв. 84, Павлоград, 06974",989 92 29,mykolai52@example.org
Жайворон Ада Августинівна,Жіноча,1981-05-07,Програміст,хутір Суходільськ,"вулиця Куликове поле, буд. 24, Рахів, 28357",+380 (26) 906-82-38,zvysochan@example.org
Шаблій Олесь Олексович,Чоловіча,1945-12-31,Програміст,селище Сіверськ,"парк Академіка Заболотного, буд. 0 кв. 8, Харків, 13632",+380 46 853-40-87,vadym98@example.net
Іваненко Аркадій Бориславович,Чоловіча,1974-05-21,Аналітик,хутір Прип'ять ,"узвіз Авіаційна, буд. 3 кв. 57, Лубни, 06007",016 095-07-79,dredko@example.com
Дергач Вадим Демʼянович,Чоловіча,2006-09-17,Менеджер,село Горлівка,"проспект Лінія 43-тя, буд. 599, Стрий, 13292",099 49 15,banduraeduard@example.org
Туркало Віталій Михайлович,Чоловіча,1986-05-09,Аналітик,хутір Малин,"парк 13-та ст. Великого Фонтану пляж, буд. 4, Острог, 15334",071 882 75 69,anzhelatovstolis@example.net
Бандера Геннадій Вікторович,Чоловіча,1953-03-27,Менеджер,село Корець,"сквер Геранієва, буд. 6 кв. 9, Іловайськ, 30902",072 680-84-17,opanas00@example.com
Сич Марта Теодорівна,Жіноча,1947-10-22,Директор,місто Баранівка,"узвіз Яші Гордієнка, буд. 977, Армянськ, 99635",+380 48 393-37-66,hoholamvrosii@example.com
Давимука Феофан Остапович,Чоловіча,1952-11-08,Програміст,село Тальне,"шосе Волзький, буд. 58, Скадовськ, 05385",284 41 00,babenkoolena@example.net
Нестайко Петро Альбертович,Чоловіча,1986-05-07,Директор,селище Кремінна,"вулиця Обільна, буд. 0 кв. 043, Горлівка, 59499",083 105-19-52,zhukanastasiia@example.net
Атрощенко Роман Амвросійович,Чоловіча,1963-02-04,Директор,село Бориспіль,"проспект Аркаса Миколи, буд. 062 кв. 85, Армянськ, 27812",807-95-81,ivashchenkoeduard@example.org
Щербань Орина Соломонівна,Жіноча,1995-07-07,Директор,селище Надвірна,"шосе 3-тя Лінія Марії Демченко, буд. 200 кв. 440, Сіверськ, 72637",+380 83 502 09 62,dzhuskostiantyn@example.org
Захаренко Галина Станіславівна,Жіноча,2005-06-20,Аналітик,хутір Южне,"проспект Студентський 2-й, буд. 37, Феодосія, 59942",060 758 19 20,varfolomiicherednyk@example.com
Андрійчук Валентина Назарівна,Жіноча,1999-04-15,Програміст,хутір Тиврів,"сквер Амундсена, 1-й, буд. 331, Сніжне, 37145",+380 97 203-62-34,mchaban@example.com
Баранник Златослава Дмитріївна,Жіноча,1954-01-18,Програміст,хутір Пустомити,"провулок Михайлівська, буд. 09, Шостка, 10805",+380 (21) 389-59-07,sviatoslav27@example.net
Ніколюк Пріска Степанівна,Жіноча,1985-07-07,Менеджер,село Дніпрорудне,"сквер Балтський 4-й, буд. 0 кв. 00, Коломия, 17033",002 403-86-75,konoplenkodemian@example.com
Лавренко Ярослава Давидівна,Жіноча,1967-11-07,Програміст,село Ужгород,"провулок Амундсена, 3-й, буд. 9, Шостка, 75669",+380 63 943 48 96,arudyk@example.com
Литвиненко Владислав Владиславович,Чоловіча,2001-01-06,Менеджер,село Соледар,"провулок Радіо, буд. 6 кв. 88, Фастів, 82674",+380 42 380-74-65,lzinchuk@example.com
Оробець Левко Борисович,Чоловіча,1951-08-11,Менеджер,село Радехів,"узвіз Станційна 2-га, буд. 0 кв. 45, Дружківка, 89869",878 68 36,fierchenko@example.net
Аврамчук Аркадій Макарович,Чоловіча,1943-09-18,Менеджер,місто Ніжин,"узвіз Соляний 3-й, буд. 47, Кам'янське, 60634",534-04-08,babiukkamilla@example.com
Оніщук Гліб Артемович,Чоловіча,1988-02-19,Менеджер,селище Бучач,"вулиця Манежний, буд. 427 кв. 96, Новий Буг, 74907",+380 (02) 230-08-85,okhrimshablii@example.com
Деревʼянко Златослава Гордіївна,Жіноча,1946-06-21,Директор,селище Сімферополь,"сквер Цебриківська, буд. 8, Українськ, 55304",+380 (13) 988-95-23,okhrim02@example.net
Цимбал Євген Ростиславович,Чоловіча,1968-01-25,Менеджер,хутір Дрогобич,"набережна Сміливий, буд. 61 кв. 3, Бобровиця, 88695",+380 64 134 24 08,milena84@example.com
Ірванець Микита Арсенович,Чоловіча,2001-10-30,Програміст,хутір Трускавець,"узвіз Івана Франка, буд. 08, Донецьк, 21350",021 931-49-00,barabashpavlo@example.com
Нестайко Данна Вікторівна,Жіноча,2003-01-21,Аналітик,селище Білозерське,"провулок Гімназична, буд. 6 кв. 71, Гуляйполе, 96036",005 165-68-51,chalenkovioletta@example.net
Батуринець Гордій Максимович,Чоловіча,1972-05-24,Програміст,місто Кам'янка (Черкаська область),"сквер Кузнечна, буд. 0, Золотоноша, 05087",048 783-29-30,liudmylabashtan@example.org
Євтушок Варфоломій Владиславович,Чоловіча,1980-08-27,Програміст,місто Берестечко,"проспект Успенський, буд. 12, Покров, 98778",+380 31 357 99 26,vasylenkoemiliia@example.org
Давимука Миколай Аркадійович,Чоловіча,1958-04-07,Аналітик,село Старий Крим,"шосе Нова, буд. 7 кв. 8, Ківерці, 63258",+380 07 772 14 44,ehavryliv@example.org
Корсун Веніямин Федорович,Чоловіча,1958-10-03,Менеджер,селище Липовець,"шосе П'ята, буд. 764, Армянськ, 05592",+380 04 077-12-91,opanaskonoplenko@example.com
Бандурка Алла Олегівна,Жіноча,1984-08-10,Програміст,хутір Решетилівка,"проспект Мазараті, буд. 756 кв. 69, Ясинувата, 36999",068 331-79-12,qisaievych@example.com
Христенко Амвросій Соломонович,Чоловіча,1956-06-20,Аналітик,місто Калинівка ,"узвіз Гетьманський, буд. 04, Первомайськ, 20053",+380 62 258 55 47,talekseienko@example.com
Даценко Адам Іванович,Чоловіча,1994-12-02,Програміст,хутір Тульчин,"узвіз Лиманчик 2-й Лінія 4-та, буд. 923, Копичинці, 41037",+380 28 360-14-05,rostyslav21@example.com
Ірванець Аліна Григоріївна,Жіноча,1957-07-22,Аналітик,селище Стрий,"сквер Степана Разіна, буд. 325, Бережани, 26019",318-03-90,khomavernydub@example.com
Дутка Лариса Вікторівна,Жіноча,1968-04-07,Програміст,селище Перечин,"провулок Черепанових, буд. 5, Богодухів, 71103",041 533 62 41,anitavakarchuk@example.org
Яремчук Орест Федорович,Чоловіча,1995-07-14,Менеджер,селище Барвінкове,"парк П'ята, буд. 85, Шепетівка, 28337",053 34 75,ielysaveta20@example.net
Тихий Богдан Стефанович,Чоловіча,1977-03-21,Менеджер,хутір Карлівка,"площа Зелена балка, буд. 4, Великі Мости, 30402",741 61 95,dan76@example.net
Онуфрієнко Людмила Едуардівна,Жіноча,2007-06-09,Менеджер,селище Середина-Буда,"вулиця Путьова, буд. 202, Городище , 32462",+380 20 240-16-11,barabashserhii@example.org
